from_str,to_str,value,from,to
"[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]",3C,1,6
"[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]",9C,1,2
"[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]",3C,1,5
"[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]","[(0, 1), (0, 1), (0, 1), (3, 0)]",1C,6,15
"[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]","[(0, 1), (0, 1), (1, 0), (2, 1)]",3C,6,9
"[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]","[(0, 1), (0, 1), (1, 1), (2, 0)]",3C,6,10
"[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",3C,6,14
"[(0, 1), (0, 1), (0, 1), (3, 0)]","[(0, 1), (0, 1), (3, 1)]",3C,15,21
"[(0, 1), (0, 1), (0, 1), (3, 0)]","[(0, 1), (0, 2), (3, 0)]",3C,15,25
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",1R,2,1
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 1), (0, 1), (1, 0), (2, 1)]",2C,2,9
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 1), (0, 1), (1, 1), (2, 0)]",1C,2,10
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 1), (1, 0), (1, 0), (1, 2)]",2C,2,8
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 1), (1, 0), (1, 1), (1, 1)]",4C,2,3
"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]","[(0, 2), (1, 0), (1, 0), (1, 1)]",1C,2,7
"[(0, 1), (0, 1), (1, 0), (2, 1)]","[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]",1R,9,6
"[(0, 1), (0, 1), (1, 0), (2, 1)]","[(0, 1), (0, 1), (3, 1)]",1C,9,21
"[(0, 1), (0, 1), (1, 0), (2, 1)]","[(0, 1), (1, 0), (2, 2)]",2C,9,16
"[(0, 1), (0, 1), (1, 0), (2, 1)]","[(0, 1), (1, 1), (2, 1)]",2C,9,12
"[(0, 1), (0, 1), (1, 0), (2, 1)]","[(0, 2), (1, 0), (2, 1)]",1C,9,18
"[(0, 1), (0, 1), (1, 1), (2, 0)]","[(0, 1), (0, 1), (0, 1), (1, 0), (2, 0)]",1R,10,6
"[(0, 1), (0, 1), (1, 1), (2, 0)]","[(0, 1), (0, 1), (3, 1)]",1C,10,21
"[(0, 1), (0, 1), (1, 1), (2, 0)]","[(0, 1), (1, 1), (2, 1)]",2C,10,12
"[(0, 1), (0, 1), (1, 1), (2, 0)]","[(0, 1), (1, 2), (2, 0)]",2C,10,20
"[(0, 1), (0, 1), (1, 1), (2, 0)]","[(0, 2), (1, 1), (2, 0)]",1C,10,19
"[(0, 1), (0, 1), (3, 1)]","[(0, 1), (0, 1), (0, 1), (3, 0)]",1R,21,15
"[(0, 1), (0, 1), (3, 1)]","[(0, 1), (3, 2)]",2C,21,27
"[(0, 1), (0, 1), (3, 1)]","[(0, 2), (3, 1)]",1C,21,29
"[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",3C,5,14
"[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]","[(0, 1), (1, 0), (1, 0), (1, 2)]",3C,5,8
"[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]","[(0, 2), (1, 0), (1, 0), (1, 1)]",3C,5,7
"[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]","[(0, 3), (1, 0), (1, 0), (1, 0)]",1C,5,13
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (0, 2), (3, 0)]",1C,14,25
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (1, 0), (2, 2)]",1C,14,16
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (1, 2), (2, 0)]",1C,14,20
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 2), (1, 0), (2, 1)]",1C,14,18
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 2), (1, 1), (2, 0)]",1C,14,19
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 3), (1, 0), (2, 0)]",1C,14,24
"[(0, 1), (0, 2), (3, 0)]","[(0, 1), (3, 2)]",1C,25,27
"[(0, 1), (0, 2), (3, 0)]","[(0, 2), (3, 1)]",1C,25,29
"[(0, 1), (0, 2), (3, 0)]","[(0, 3), (3, 0)]",1C,25,30
"[(0, 1), (1, 0), (1, 0), (1, 2)]","[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]",1R,8,5
"[(0, 1), (1, 0), (1, 0), (1, 2)]","[(0, 1), (1, 0), (2, 2)]",2C,8,16
"[(0, 1), (1, 0), (1, 0), (1, 2)]","[(0, 1), (1, 2), (2, 0)]",1C,8,20
"[(0, 1), (1, 0), (1, 0), (1, 2)]","[(1, 0), (1, 0), (1, 3)]",1C,8,17
"[(0, 1), (1, 0), (1, 0), (1, 2)]","[(1, 0), (1, 1), (1, 2)]",2C,8,11
"[(0, 1), (1, 0), (1, 1), (1, 1)]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 1)]",2R,3,2
"[(0, 1), (1, 0), (1, 1), (1, 1)]","[(0, 1), (1, 0), (2, 2)]",1C,3,16
"[(0, 1), (1, 0), (1, 1), (1, 1)]","[(0, 1), (1, 1), (2, 1)]",2C,3,12
"[(0, 1), (1, 0), (1, 1), (1, 1)]","[(1, 0), (1, 1), (1, 2)]",2C,3,11
"[(0, 1), (1, 0), (1, 1), (1, 1)]","[(1, 1), (1, 1), (1, 1)]",1C,3,4
"[(0, 1), (1, 0), (2, 2)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",1R,16,14
"[(0, 1), (1, 0), (2, 2)]","[(0, 1), (3, 2)]",1C,16,27
"[(0, 1), (1, 0), (2, 2)]","[(1, 0), (2, 3)]",1C,16,26
"[(0, 1), (1, 0), (2, 2)]","[(1, 1), (2, 2)]",1C,16,22
"[(0, 1), (1, 1), (2, 1)]","[(0, 1), (0, 1), (1, 0), (2, 1)]",1R,12,9
"[(0, 1), (1, 1), (2, 1)]","[(0, 1), (0, 1), (1, 1), (2, 0)]",1R,12,10
"[(0, 1), (1, 1), (2, 1)]","[(0, 1), (3, 2)]",1C,12,27
"[(0, 1), (1, 1), (2, 1)]","[(1, 1), (2, 2)]",1C,12,22
"[(0, 1), (1, 1), (2, 1)]","[(1, 2), (2, 1)]",1C,12,23
"[(0, 1), (1, 2), (2, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",1R,20,14
"[(0, 1), (1, 2), (2, 0)]","[(0, 1), (3, 2)]",1C,20,27
"[(0, 1), (1, 2), (2, 0)]","[(1, 2), (2, 1)]",1C,20,23
"[(0, 1), (1, 2), (2, 0)]","[(1, 3), (2, 0)]",1C,20,28
"[(0, 1), (3, 2)]","[(0, 1), (0, 2), (3, 0)]",1R,27,25
"[(0, 1), (3, 2)]","[(3, 3)]",1C,27,31
"[(0, 2), (1, 0), (1, 0), (1, 1)]","[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0)]",1R,7,5
"[(0, 2), (1, 0), (1, 0), (1, 1)]","[(0, 2), (1, 0), (2, 1)]",2C,7,18
"[(0, 2), (1, 0), (1, 0), (1, 1)]","[(0, 2), (1, 1), (2, 0)]",1C,7,19
"[(0, 2), (1, 0), (1, 0), (1, 1)]","[(1, 0), (1, 0), (1, 3)]",1C,7,17
"[(0, 2), (1, 0), (1, 0), (1, 1)]","[(1, 0), (1, 1), (1, 2)]",2C,7,11
"[(0, 2), (1, 0), (2, 1)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",1R,18,14
"[(0, 2), (1, 0), (2, 1)]","[(0, 2), (3, 1)]",1C,18,29
"[(0, 2), (1, 0), (2, 1)]","[(1, 0), (2, 3)]",1C,18,26
"[(0, 2), (1, 0), (2, 1)]","[(1, 2), (2, 1)]",1C,18,23
"[(0, 2), (1, 1), (2, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",1R,19,14
"[(0, 2), (1, 1), (2, 0)]","[(0, 2), (3, 1)]",1C,19,29
"[(0, 2), (1, 1), (2, 0)]","[(1, 1), (2, 2)]",1C,19,22
"[(0, 2), (1, 1), (2, 0)]","[(1, 3), (2, 0)]",1C,19,28
"[(0, 2), (3, 1)]","[(0, 1), (0, 2), (3, 0)]",1R,29,25
"[(0, 2), (3, 1)]","[(3, 3)]",1C,29,31
"[(0, 3), (1, 0), (1, 0), (1, 0)]","[(0, 3), (1, 0), (2, 0)]",3C,13,24
"[(0, 3), (1, 0), (1, 0), (1, 0)]","[(1, 0), (1, 0), (1, 3)]",3C,13,17
"[(0, 3), (1, 0), (2, 0)]","[(0, 3), (3, 0)]",1C,24,30
"[(0, 3), (1, 0), (2, 0)]","[(1, 0), (2, 3)]",1C,24,26
"[(0, 3), (1, 0), (2, 0)]","[(1, 3), (2, 0)]",1C,24,28
"[(0, 3), (3, 0)]","[(3, 3)]",1C,30,31
"[(1, 0), (1, 0), (1, 3)]","[(0, 3), (1, 0), (1, 0), (1, 0)]",1R,17,13
"[(1, 0), (1, 0), (1, 3)]","[(1, 0), (2, 3)]",2C,17,26
"[(1, 0), (1, 0), (1, 3)]","[(1, 3), (2, 0)]",1C,17,28
"[(1, 0), (1, 1), (1, 2)]","[(0, 1), (1, 0), (1, 0), (1, 2)]",1R,11,8
"[(1, 0), (1, 1), (1, 2)]","[(0, 2), (1, 0), (1, 0), (1, 1)]",1R,11,7
"[(1, 0), (1, 1), (1, 2)]","[(1, 0), (2, 3)]",1C,11,26
"[(1, 0), (1, 1), (1, 2)]","[(1, 1), (2, 2)]",1C,11,22
"[(1, 0), (1, 1), (1, 2)]","[(1, 2), (2, 1)]",1C,11,23
"[(1, 0), (2, 3)]","[(0, 3), (1, 0), (2, 0)]",1R,26,24
"[(1, 0), (2, 3)]","[(3, 3)]",1C,26,31
"[(1, 1), (1, 1), (1, 1)]","[(0, 1), (1, 0), (1, 1), (1, 1)]",3R,4,3
"[(1, 1), (1, 1), (1, 1)]","[(1, 1), (2, 2)]",3C,4,22
"[(1, 1), (2, 2)]","[(0, 1), (1, 0), (2, 2)]",1R,22,16
"[(1, 1), (2, 2)]","[(0, 2), (1, 1), (2, 0)]",1R,22,19
"[(1, 1), (2, 2)]","[(3, 3)]",1C,22,31
"[(1, 2), (2, 1)]","[(0, 1), (1, 2), (2, 0)]",1R,23,20
"[(1, 2), (2, 1)]","[(0, 2), (1, 0), (2, 1)]",1R,23,18
"[(1, 2), (2, 1)]","[(3, 3)]",1C,23,31
"[(1, 3), (2, 0)]","[(0, 3), (1, 0), (2, 0)]",1R,28,24
"[(1, 3), (2, 0)]","[(3, 3)]",1C,28,31
"[(3, 3)]","[(0, 3), (3, 0)]",1R,31,30
